#gene	pmid_counts
9817	312
2904	311
107980440	310
1535	310
3838	310
7486	309
4092	308
7150	308
10855	307
109504728	307
4804	307
6275	307
1000	306
409	306
890	306
949	306
2066	305
5080	305
4322	304
3326	303
1021	302
4361	302
2645	300
358	300
4830	300
110806263	299
1509	299
301	299
4852	299
8648	299
1536	298
6323	298
102	297
1045	297
3611	296
51284	296
10599	295
1437	295
2194	295
3133	295
3178	295
540	294
820	294
216	293
2185	293
5175	293
5176	293
1244	292
2266	292
3659	292
3684	292
50616	292
5788	292
8772	292
284	291
4311	291
2159	290
6678	290
2641	289
7056	289
23028	288
4221	288
4286	288
4586	288
4734	288
4771	288
5741	288
6462	288
695	288
775	288
174	287
7042	287
9611	287
1524	286
4791	286
7273	286
10062	285
2492	285
6591	285
3190	284
3554	284
6521	284
1548	283
2638	283
6426	283
7158	283
197	282
3375	282
5443	282
27161	281
5617	281
641	281
84876	281
1072	280
50507	280
4602	279
240	278
572	278
2130	277
3002	277
3040	277
7251	277
1915	276
6777	276
7172	276
834	276
8829	276
3484	275
5021	275
7080	275
1139	274
1213	274
10631	273
361	273
3676	272
4072	272
3358	271
3875	271
7078	271
94025	271
1812	270
2017	270
5053	270
1500	269
9612	269
1969	268
768	268
103	267
1236	267
1616	267
2289	267
7082	267
3122	266
7345	266
29110	265
3655	265
407006	265
5428	265
6376	265
991	265
1991	264
25942	264
3159	264
4973	264
51561	264
551	264
8451	264
1398	263
3575	263
5172	263
6348	263
7941	263
182	262
121278	261
1978	261
329	261
3654	261
406906	261
5310	261
9759	261
2776	260
3397	260
84868	260
10155	259
4086	259
4217	259
4595	259
7068	259
92140	259
975	259
11168	258
1460	258
4625	258
5245	258
5742	258
6573	258
8290	258
8452	258
1673	257
6261	257
10524	256
2006	256
2833	256
3624	256
4194	256
4878	256
9131	256
100133941	255
10320	255
3897	255
655	255
7874	255
79923	255
1394	254
659	254
10111	253
10664	253
2073	252
2158	252
28	252
283120	252
4041	252
7184	252
85480	252
8826	252
330	251
5499	251
7010	251
80339	251
27185	250
2120	249
2623	249
5727	249
7332	249
203068	248
3572	248
59272	248
2934	247
5573	247
5654	247
2	246
26986	246
3880	246
4653	246
558	246
10015	245
4085	245
6446	245
2670	244
27250	244
3574	244
5972	244
6288	244
6928	244
821	244
3313	243
4287	243
4853	243
7045	243
8359	243
100124700	242
1386	242
406913	242
5601	242
2626	241
3276	241
51741	241
637	241
6890	241
9971	241
3691	240
1965	239
1981	239
50964	239
9112	239
9232	239
10763	238
1649	238
3290	238
3925	238
468	238
57379	238
5868	238
6775	238
84557	238
10987	237
1113	237
26291	237
3304	237
378938	237
408	237
462	237
7337	237
